Image,Word Error Rate,Character Error Rate,Precision,Recall,F1 Score,Levenshtein Distance,Similarity Ratio
Image 1,27.0,0.022332506203473945,0.0,0.0,0,27,93.45425867507886
Image 2,1171.0,1.0,0,0.0,0,1171,0.0
Image 3,1547.0,1.0,0,0.0,0,1547,0.0
Image 4,1459.0,1.0,0,0.0,0,1459,0.0
Image 5,1488.0,1.0,0,0.0,0,1488,0.0
Image 6,1768.0,1.0,0,0.0,0,1768,0.0
Image 7,1337.0,1.0,0,0.0,0,1337,0.0
Image 8,1799.0,1.0,0,0.0,0,1799,0.0
Image 9,1335.0,1.0,0,0.0,0,1335,0.0
Image 10,1271.0,1.0,0,0.0,0,1271,0.0
